"Id","Title"
"619","Debtor profile"
"620","Ideal payment"
"621","Direct debit"
"622","Create IA"
"623","Go to Inzicht"
"624","Process Yards files"
"715","Check functionality of magnifying glass"
"716","Cost loss swap full cost payment"
"717","Cost loss swap partly cost payment"
"744","Upgrade 2P to 3P GUI Base"
"745","Upgrade 3P to 2P GUI Base"
"746","Upgrade 2P to 3P Script Base"
"747","Upgrade 2P to 3P GUI Complete"
"748","Upgrade 2P to 3P GUI Complete"
"749","Upgrade 3P to 2P GUI Complete"
"750","Upgrade 2P to 3P Script Complete"
"751","Upgrade 2P to 3P GUI Extended New"
"752","Upgrade 3P to 2P GUI Extended New"
"753","Upgrade 2P to 3P Script Extended New"
"754","Upgrade 2P to 3P GUI Extended Old"
"755","Upgrade 3P to 2P GUI Extended Old"
"756","Upgrade 2P to 3P Script Extended Old"
"758","Proces claim file with BSN for 2P "
"759","Proces claim file without BSN for 2P "
"760","Proces claim file with BSN for 3P "
"773","Payback to debtor after mark as profit"
"775","Stop claim when claim is fully paid"
"776","Stop treatment when claim is fully paid"
"777","Increased promise on handled claim, paid"
"778","Insurance payment automatch right amount and reference"
"779","Payment ROBP automatch right amount and reference"
"780","Payment ROBP automatch right reference, amount lower"
"781","Payment ROBP automatch right amount, reference little bit different"
"782","Insurance payment automatch different amount and right reference"
"925","Bad debtor check (Rule 1: Active Bailiff Case)"
"926","Bad debtor check (Rule 2: Active Debt Management cases (WSNP))"
"927","Bad debtor check (Rule 2: Active Debt Management cases (WSNP)) 2"
"928","Bad debtor check (new Patient number)"
"929","Bad debtor check (birthdate of debtor is not consistant)"
"945","Match no reference more invoices same amount, previous payments, same ZIP"
"946","Match invoice with costs, payment equal main amount"
"948","Cost loss swap partial cost payment"
"950","Pay little to much, take extra amount as profit"
"951","Payback amount = 500"
"952","Payback amount < 500"
"953","Unmatch payback when in Parked"
"954","Undo take extra amount as profit"
"955","Debtor service desk senior"
"956","Debtor service desk manager"
"957","Customer service desk 1st line"
"958","Customer service desk 2nd line"
"959","Customer service desk senior"
"960","Customer service desk manager"
"961","IC desk"
"962","IC desk senior"
"963","CMIB"
"964","CMIB manager"
"965","Finance"
"966","Finance Manager"
"967","Customer service desk 2nd line"
"968","Customer service desk senior"
"969","Customer service desk manager"
"970","See All Do Nothing"
"977","vbvdjbvsjv"
"985","Selection max 7 days ahead"
"986","Batches within file"
"1007","Process good Pay.nl file"
"1008","Same file again Pay.nl"
"1009","Payment Pay.nl with right amount and within 10 days after receiving Pay.nl file"
"1010","Payment Pay.nl with wrong amount and within 10 days after receiving Pay.nl file"
"1011","Payment Pay.nl with right amount but not within 10 days after receiving Pay.nl file"
"1012","Process batch confirmation"
"1015","Match reference 1 pos too short invoice number, right amount"
"1016","Match reference almost right invoice number, different amount"
"1017","Match reference invoice number 1 to short, same amount"
"1018","Match reference invoice number 1 too short, same amount"
"1019","Match reference invoice number 1 to long, same amount"
"1020","Match reference invoice number 1 to short, different amount"
"1021","Match reference invoice number 1 to long, different amount"
"1022","Match reference invoice number 1 to short, different amount"
"1035","Open settlement"
"1037","Process Pay.nl clearing file"
"1125","01.001.001"
"1126","01.001.002"
"1133","test1"
"1147","ProcessClaimAddComplaintAndRedelivery_70558"
"1152","SearchBaCheckOnList_SC_IIP-TIM_70558"
"1153","SearchBaCheckOnList_NSC-BA_IIP-TIM_default"
"1155","SearchBaCheckOnPage_SC_IIP-TIM_70558"
"1156","SearchBaCheckOnPage_NSC-BA_IIP-TIM_default"
"1158","ProcessClaimPaymentMatchUnMatch_SC_IIP-TIM_70558"
"1159","ProcessClaimPaymentMatchUnMatch_NSC-BA_IIP-TIM_default"
"1162","ProcessClaimPaymentMatch_SC_IIP-TIM_70558"
"1163","ProcessClaimPaymentMatch_NSC-BA_IIP-TIM_default"
"1166","ProcessClaimMoveSettlementToSentInput_NSC-BA_IIP-TIM_default"
"1167","ProcessClaimMoveSettlementToSentInput_SC_IIP-TIM_70558"
"1169","ProcessClaimEditDebtorProfile_SC_IIP-TIM_70558"
"1170","ProcessClaimEditDebtorProfile_NSC-BA_IIP-TIM_default"
"1172","ProcessClaimDownloadConfirmation_NSC-BA_IIP-TIM_default"
"1175","ProcessClaimCreateInsuranceAnswer_NSC-BA_IIP-TIM_default"
"1176","ProcessClaimCreateInsuranceAnswer_SC_IIP-TIM_70558"
"1181","ProcessClaimCreateDipUserPayment_NSC-BA_IIP-TIM_default"
"1182","ProcessClaimCreateDipUserPayment_SC_IIP-TIM_70558"
"1185","ProcessClaimCreateDipUserIdealInput_SC_IIP-TIM_70558"
"1186","ProcessClaimCreateDipUserIdealInput_NSC-BA_IIP-TIM_default"
"1188","ProcessClaimChangeDebtor_NSC-BA_IIP-TIM_default"
"1193","ProcessClaimAndVerify_NSC-BA_IIP-TIM_default"
"1194","ProcessClaimAndVerify_SC_IIP-TIM_70558"
"1197","ProcessClaimAddComplaintAndResume_NSC-BA_IIP-TIM_default"
"1202","ProcessClaimAddComplaintAndRedelivery_NSC-BA_IIP-TIM_default"
"1205","ProcessClaimAddCall_NSC-BA_IIP-TIM_default"
"1206","ProcessClaimAddCall_SC_IIP-TIM_70558"
"1209","NCreateFakeBa_SC_IIP-TIM_FakeIban"
"1211","ModifyContract_NSC-BA_IIP-TIM_default"
"1213","ModifyBa_NSC-BA_IIP-TIM_default"
"1215","CreateBa_SC_IIP-TIM_Basic"
"1218","CreateBaAndContract_SC_IIP-TIM_Compleet3p"
"1221","CreateBaAndProcessClaim_SC_PassBa_IIP-TIM_Compleet3p"
"1223","CheckInzichtBasis_SC_IIP-TIM-INZICHT_70558"
"1226","CreateUserTimAccessAndDelete_SC_IIP-IAM-TIM_TimUser"
"1235","CreateIamUser_SC_IIP-IAM_Agent"
"1238","CreateIamUser_SC_IIP-IAM_Autotester_tim"
"1239","CreateIamUser_SC_IIP-IAM_Deborah_tim"
"1240","CreateIamUser_SC_IIP-IAM_Jeroen_tim"
"1241","CreateIamUser_SC_IIP-IAM_shaldon_tim"
"1242","CreateIamUser_SC_IIP-IAM_Francine_tim"
"1243","CreateIamUser_SC_IIP-IAM_Jeffrey_tim"
"1244","CreateIamUser_SC_IIP-IAM_Hendrik_tim"
"1245","CreateIamUser_SC_IIP-IAM_Bas_tim"
"1246","CreateIamUser_SC_IIP-IAM_Arno_tim"
"1247","CreateIamUser_SC_IIP-IAM_Gerard_tim"
"1248","CreateIamUser_SC_IIP-IAM_Lex_tim"
"1249","CreateIamUser_SC_IIP-IAM_Ruud_tim"
"1250","CreateIamUser_SC_IIP-IAM_Miranda_BI"
"1251","CreateIamUser_SC_IIP-IAM_Jaro_BI"
"1252","CreateIamUser_SC_IIP-IAM_Bartosz_tim"
"1253","CreateIamUser_SC_IIP-IAM_Milosz_tim"
"1255","DeleteIamUser_SC_IIP-IAM_Autotester_tim"
"1256","DeleteIamUser_SC_IIP-IAM_Deborah_tim"
"1257","DeleteIamUser_SC_IIP-IAM_Jeroen_tim"
"1258","DeleteIamUser_SC_IIP-IAM_shaldon_tim"
"1259","DeleteIamUser_SC_IIP-IAM_Francine_tim"
"1260","DeleteIamUser_SC_IIP-IAM_Jeffrey_tim"
"1261","DeleteIamUser_SC_IIP-IAM_Hendrik_tim"
"1262","DeleteIamUser_SC_IIP-IAM_Bas_tim"
"1263","DeleteIamUser_SC_IIP-IAM_Arno_tim"
"1264","DeleteIamUser_SC_IIP-IAM_Gerard_tim"
"1265","DeleteIamUser_SC_IIP-IAM_Lex_tim"
"1266","DeleteIamUser_SC_IIP-IAM_Ruud_tim"
"1267","DeleteIamUser_SC_IIP-IAM_Miranda_BI"
"1268","DeleteIamUser_SC_IIP-IAM_Jaro_BI"
"1269","DeleteIamUser_SC_IIP-IAM_Bartosz_tim"
"1270","DeleteIamUser_SC_IIP-IAM_Milosz_tim"
"1335","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dpay-Pz-Full-3P"
"1336","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Msz-Full-3P"
"1337","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Mz-Basic-3P"
"1338","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Pz-Basic-2P"
"1339","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Mz-Ext-3P"
"1340","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Pz-Ext-3P"
"1341","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Mz-Full-3P"
"1342","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Dfa-Pz-Full-3P"
"1343","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Mz-Basic-3P"
"1344","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Pz-Basic-3P"
"1345","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Mz-Extended-3P"
"1346","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Pz-Extended-2P"
"1347","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Mz-Full-3P"
"1348","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Iz-Pz-Full-3P"
"1349","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Mz-Basic-3P"
"1350","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Pz-Basic-3P"
"1351","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Mz-Ext-3P"
"1352","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Pz-Ext-3P"
"1353","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Mz-Full-2P"
"1354","CreateBaAndProcessFirstClaimPrepare_SC_IIP-TIM_Nc-Pz-Full-3P"
"1429","[TIM] Ledger: Rejected claims and lines are not charged"
"1434","[TIM] Ledger: change settlement date"
"1436","[TIM] Ledger: Correction on settlements"
"1500","[Inzicht] Authentication: Log in to inzicht2"
"1504","[Inzicht] Authentication: Logout of inzicht2"
"1514","[Inzicht] Authentication: Reset a password"
"1515","[Inzicht] Authentication: Invalid username"
"1516","[Inzicht] Authentication: Invalid Password"
"1517","[Inzicht] Authentication: Block a user"
"1518","[Inzicht] Authentication: Unblock a user"
"1520","[Inzicht] Accounts: Business Owner"
"1521","[Inzicht] Accounts: Assistent"
"1522","[Inzicht] Accounts: Read(/view) only"
"1523","[Inzicht] Search patient widget: Patient name search "
"1524","[Inzicht] Search patient widget: patient number search"
"1525","[Inzicht] Search patient widget: Birthdate search "
"1526","[Inzicht] Search patient widget: Zipcode search "
"1527","[Inzicht] Search patient widget: House number (+additions) search "
"1529","[Inzicht] Search patient widget: Combined search "
"1530","[Inzicht] Search patient widget: Invoice number search "
"1531","[Inzicht] Search patient widget: Upload of NOT accepted files"
"1532","[Inzicht] Search patient widget: Upload a claimfile"
"1533","[Inzicht] Search patient widget: Upload a zip-file containing claimfiles"
"1534","[Inzicht] Search patient widget: Duplicate claimfile"
"1535","[Inzicht] Revenue widget: Change renenue amount"
"1536","[Inzicht] Financial widget: Hide/show financial state"
"1537","obsolete"
"1538","[Inzicht] financial widget: Decrease amount"
"1548","[Inzicht] financial widget: Decrease amount below zero"
"1560","[Inzicht] Latest messages: Add a message"
"1561","[Inzicht] Actionlist widget: Generate Address change"
"1563","[Inzicht] Actionlist widget: Generate Complaint"
"1564","[Inzicht] Actionlist widget: Generate SSP Collection invoice"
"1565","[Inzicht] Actionlist widget: Generate SSP Bailiff invoice"
"1569","[Tim] Ledger: Settle retrocessions with own delivery"
"1572","[Tim] Ledger: Settle retrocessions from earlier deliveries"
"1576","[TIM] Ledger: Settle retrocessions with next delivery and send invoice ROBP for remainder"
"1577","[Inzicht] Actionlist widget: Remove address change - stop claim"
"1578","[Inzicht] Actionlist widget: Remove address change - change the address"
"1580","[Inzicht] Actionlist widget: Remove address change - Address is correct"
"1581","[Inzicht] Actionlist widget: Remove complaint - Reject complaint"
"1582","[Inzicht] Actionlist widget: Remove complaint - Honor complaint"
"1583","[Inzicht] Actionlist widget: Remove SSP Collection invoice - Stop claim"
"1596","[Inzicht] Actionlist widget: Remove SSP Collection invoice - Accept"
"1604","[Inzicht] Actionlist widget: Remove SSP Collection invoice - Delay"
"1609","[Inzicht] Actionlist widget: Remove SSP Bailiff invoice - Stop claim"
"1610","[Inzicht] Actionlist widget: Remove SSP Bailiff invoice - Accept"
